2574000,0.100343,-0.00313,-1.071751,1.076443,-0.000669844
2576000,0.075409,0.031537,-2.201756,2.203272,-0.001376098
2578000,0.012999,0.006206,-1.919419,1.919473,-0.001199637
2580000,0.014072,-0.065186,-2.00862,2.009727,-0.001255388
2582000,0.042093,-0.064719,-2.023212,2.024684,-0.001264508
2584000,-0.01091,-0.005498,-0.586489,0.586616,-0.000366556
2586000,-0.085828,0.075026,1.716396,1.720178,0.001072748
2588000,-0.089799,0.099556,2.219276,2.223322,0.001387048
2590000,-0.02469,0.045889,1.866229,1.866956,0.001166393
2592000,0.058101,0.0571,2.062173,2.063781,0.001288858
2594000,0.018165,0.121503,1.983947,1.987747,0.001239967
2596000,-0.065998,0.101306,1.992474,1.996139,0.001245296
2598000,0.002706,0.019121,0.671512,0.67179,0.000419695
2600000,0.126157,-0.032988,-1.721464,1.726395,-0.001075915
2602000,0.090528,-0.020678,-2.208877,2.210828,-0.001380548
2604000,-0.0247,-0.020796,-1.876034,1.876311,-0.001172521
2606000,0.005979,-0.063624,-2.055269,2.056262,-0.001284543
2608000,0.071849,-0.070575,-1.736005,1.738924,-0.001085003
2610000,-0.040562,0.009514,0.241208,0.24478,0.000150755
2612000,-0.140574,0.111961,2.169848,2.177278,0.001356155
2614000,-0.065881,0.08394,1.992394,1.99525,0.001245246
2616000,0.040087,0.013004,1.93837,1.938828,0.001211481
2618000,0.033525,0.0916,2.073373,2.075666,0.001295858
2620000,-0.056988,0.159975,1.941366,1.948779,0.001213354
2622000,-0.036104,0.062025,1.809392,1.810815,0.00113087
2624000,0.06781,-0.013968,-0.099319,0.121068,-6.20744E-05
2626000,0.102203,0.020908,-2.078798,2.081414,-0.001299249
2628000,0.033867,0.023089,-2.025623,2.026038,-0.001266014
2630000,-0.015854,-0.046647,-1.937985,1.938611,-0.001211241
2632000,0.037345,-0.064679,-2.060106,2.061459,-0.001287566
2634000,0.035682,-0.018877,-1.188305,1.188991,-0.000742691
2636000,-0.06617,0.05796,1.18975,1.192997,0.000743594
2638000,-0.059697,0.081647,2.454835,2.456918,0.001534272
2640000,0.044677,0.03791,1.814385,1.815331,0.001133991
2642000,0.024783,0.097577,2.024192,2.026694,0.00126512
2644000,-0.042024,0.133314,2.04876,2.053523,0.001280475
2646000,-0.00794,0.027585,1.171114,1.171466,0.000731946
2648000,0.092507,-0.061206,-0.794273,0.801981,-0.000496421
2650000,0.117824,-0.025068,-2.173728,2.177063,-0.00135858
2652000,0.015853,0.017397,-1.938675,1.938818,-0.001211672
2654000,-0.02643,-0.043028,-1.99818,1.998818,-0.001248863
2656000,0.045578,-0.077839,-2.027196,2.029202,-0.001266998
2658000,0.011999,-0.005365,-0.57315,0.573301,-0.000358219
2660000,-0.110957,0.090512,1.728986,1.734905,0.001080616
2662000,-0.102235,0.086271,2.212474,2.216515,0.001382796
2664000,0.01466,0.025944,1.868806,1.869044,0.001168004
2666000,0.051293,0.076416,2.062035,2.064088,0.001288772
2668000,-0.045613,0.15467,1.983041,1.989586,0.001239401
2670000,-0.06431,0.107691,1.993567,1.997509,0.001245979
2672000,0.051755,0.023745,0.621193,0.623798,0.000388246
2674000,0.108504,-0.000113,-1.763296,1.766631,-0.00110206
2676000,0.047106,0.014642,-2.189735,2.190291,-0.001368584
2678000,-0.000292,-0.018415,-1.880644,1.880735,-0.001175403
2680000,0.027249,-0.061637,-2.057901,2.059004,-0.001286188
2682000,0.027203,-0.034388,-1.773562,1.774104,-0.001108476
2684000,-0.04474,0.026003,0.167123,0.174951,0.000104452
2686000,-0.084437,0.08517,2.161246,2.164571,0.001350779
2688000,-0.058666,0.074632,1.999653,2.001905,0.001249783
2690000,0.001613,0.030221,1.933624,1.933861,0.001208515
2692000,0.051018,0.079296,2.075801,2.077941,0.001297376
2694000,-0.014463,0.139819,1.94055,1.945634,0.001212844
2696000,-0.0617,0.093249,1.83408,1.837485,0.0011463
2698000,0.05111,0.008507,-0.000542,0.051816,-3.3875E-07
2700000,0.152269,-0.032689,-2.022841,2.028828,-0.001264276
2702000,0.059081,-0.0384,-2.053217,2.054425,-0.001283261
2704000,-0.044766,-0.048633,-1.929544,1.930676,-0.001205965
2706000,0.03592,-0.062153,-2.058363,2.059615,-0.001286477
2708000,0.057466,-0.038328,-1.147901,1.149977,-0.000717438
2710000,-0.095873,0.0488,1.234617,1.239295,0.000771636
2712000,-0.136869,0.116174,2.432754,2.439369,0.001520471
2714000,-0.008899,0.051252,1.821103,1.821846,0.001138189
2716000,0.06668,0.005383,2.025629,2.026733,0.001266018
2718000,-0.008113,0.110095,2.044345,2.047324,0.001277716
2720000,-0.081218,0.160139,1.938524,1.946822,0.001211578
2722000,-0.00304,0.043735,1.225567,1.226351,0.000765979
2724000,0.094522,-0.02911,-1.040928,1.045617,-0.00065058
2726000,0.090938,0.025788,-2.184433,2.186477,-0.001365271
2728000,0.020644,-0.002339,-1.928074,1.928186,-0.001205046
2730000,-0.008092,-0.099203,-2.005877,2.008345,-0.001253673
2732000,0.040844,-0.061011,-2.022774,2.024106,-0.001264234
