timestamp(ms),ADXL_X,ADXL_Y,ADXL_Z,ADXL_T,LIS_X,LIS_Y,LIS_Z,LIS_T
1776664713,,-0.06773,0.9786,0.981405,0.069,0.036,1.07,1.0728
1776664713,0.030186,,,,,,,
1776664713,,-0.06773,0.9786,0.981405,0.065,0.036,1.071,1.0736
1776664713,0.030884,-0.066734,0.979626,0.982382,,,,
1776664713,,,,,0.061,0.038,1.068,1.0704
1776664713,0.030884,,,,,,,
1776664713,,-0.066734,0.979626,0.982382,0.06,0.037,1.074,1.0763
1776664713,0.03167,-0.066799,0.977528,0.980319,0.061,0.041,1.072,1.0745
1776664713,0.030071,,,,,,,
1776664713,,-0.067066,0.978848,0.981603,0.061,0.037,1.074,1.0764
1776664713,0.030071,-0.067066,0.978848,0.981603,0.065,0.036,1.075,1.0776
1776664713,0.030399,-0.067924,,,,,,
1776664713,,,0.979031,0.981855,0.064,0.039,1.074,1.0766
1776664713,0.031227,-0.067921,0.978294,0.981146,0.063,0.04,1.072,1.0746
1776664713,0.031227,,,,,,,
1776664713,,-0.067921,0.978294,0.981146,0.061,0.04,1.074,1.0765
1776664713,0.030697,-0.066166,0.979446,0.982159,0.062,0.033,,
1776664713,,,,,,,1.071,1.0733
1776664713,0.030697,-0.066166,,,,,,
1776664713,,,0.979446,0.982159,0.064,0.032,1.067,1.0694
1776664713,0.031002,-0.06691,0.978756,0.98153,0.066,0.036,1.069,1.0716
1776664713,0.03083,-0.068558,,,,,,
1776664713,,,0.977573,0.980459,0.07,0.029,1.07,1.0727
1776664713,0.03083,-0.068558,0.977573,0.980459,0.069,0.032,1.068,1.0707
1776664713,0.030041,-0.067009,,,,,,
1776664713,,,0.979256,0.982005,0.063,0.036,1.072,1.0745
1776664713,0.030964,-0.067154,0.979031,0.981819,0.069,0.032,1.071,1.0737
1776664713,0.030964,-0.067154,,,,,,
1776664713,,,0.979031,0.981819,0.068,0.036,1.067,1.0698
1776664713,0.031166,-0.067589,0.977497,0.980327,0.068,0.035,1.068,1.0707
1776664713,0.030678,-0.067112,,,,,,
1776664713,,,0.978958,0.981735,0.064,0.033,1.064,1.0664
1776664713,0.030678,-0.067112,0.978958,0.981735,0.063,0.036,1.069,1.0715
1776664713,0.029755,-0.067089,,,,,,
1776664713,,,0.978439,0.981188,0.063,0.035,1.07,1.0724
1776664713,0.029755,-0.067089,0.978439,0.981188,0.062,0.032,1.071,1.0733
1776664713,0.030674,-0.067219,,,,,,
1776664713,,,0.978512,0.981297,0.065,0.037,1.074,1.0766
1776664713,0.031101,-0.066669,0.979244,0.982004,0.063,0.036,1.074,1.0764
1776664713,0.031101,-0.066669,,,,,,
1776664713,,,0.979244,0.982004,0.065,0.034,1.07,1.0725
1776664713,0.031048,-0.067879,0.978928,0.981769,0.068,0.036,1.071,1.0738
1776664713,0.030796,-0.068211,,,,,,
1776664713,,,0.978828,0.981685,0.062,0.036,1.073,1.0754
1776664713,0.030796,-0.068211,0.978828,0.981685,0.067,0.036,1.071,1.0737
1776664713,0.030022,-0.06752,,,,,,
1776664713,,,0.978371,0.981157,0.069,0.032,1.069,1.0717
1776664713,0.030067,-0.066387,0.97924,0.981949,0.066,0.03,1.065,1.0675
1776664713,0.030067,-0.066387,,,,,,
1776664713,,,0.97924,0.981949,0.067,0.034,1.072,1.0746
1776664713,0.030956,-0.067265,0.978764,0.98156,0.07,0.035,1.066,1.0689
1776664713,0.030956,-0.067265,,,,,,
1776664713,,,0.978764,0.98156,0.073,0.03,1.069,1.0719
1776664713,0.03067,-0.067627,0.978249,0.981063,0.071,0.031,1.082,1.0848
1776664713,0.030743,-0.068336,,,,,,
1776664713,,,0.980148,0.983009,0.061,0.034,1.074,1.0763
1776664713,0.030743,-0.068336,0.980148,0.983009,0.065,0.034,1.088,1.0905
1776664713,0.031036,,,,,,,
1776664713,,-0.067879,0.97834,0.981183,0.052,0.035,1.073,1.0748
1776664713,0.031036,-0.06604,0.978817,0.981533,0.063,,,
1776664713,,,,,,0.041,1.063,1.0657
1776664713,0.031036,-0.06604,,,,,,
1776664713,,,0.978817,0.981533,0.066,0.03,1.051,1.0535
1776664713,0.0299,-0.066143,0.979233,0.981919,0.066,0.035,1.069,1.0716
1776664713,0.0299,-0.066143,0.979233,0.981919,0.063,0.036,1.069,1.0715
1776664713,0.030857,-0.068512,0.978222,0.981104,0.067,0.033,1.066,1.0686
1776664713,0.031433,-0.068279,,,,,,
1776664713,,,0.978714,0.981596,0.072,0.038,1.073,1.0761
1776664713,0.031433,-0.068279,0.978714,0.981596,0.066,0.035,1.06,1.0626
1776664713,0.030659,-0.068008,,,,,,
1776664713,,,0.977467,0.980309,0.075,0.042,1.074,1.0774
1776664713,0.032204,-0.067505,0.978298,0.981153,0.068,0.037,1.075,1.0778
1776664713,0.032204,-0.067505,,,,,,
1776664713,,,0.978298,0.981153,0.061,0.038,1.07,1.0724
1776664713,0.031227,-0.067547,0.977829,0.980657,0.058,0.035,1.062,1.0642
1776664713,0.030628,-0.068729,,,,,,
1776664713,,,0.977772,0.980663,0.061,0.036,1.07,1.0723
1776664713,0.030628,-0.068729,0.977772,0.980663,0.063,0.033,1.069,1.0714
1776664713,0.030361,,,,,,,
1776664713,,-0.067127,0.981796,0.984557,0.065,0.036,1.059,1.0616
1776664713,0.030361,-0.067127,0.981796,0.984557,0.065,0.042,1.073,
1776664713,,,,,,,,1.0758
1776664713,0.030476,-0.067711,,,,,,
1776664713,,,0.977654,0.980469,0.065,0.038,1.065,1.0677
1776664713,0.033192,-0.067677,0.977371,0.980274,0.069,0.041,1.06,1.063
1776664713,0.033192,-0.067677,,,,,,
1776664713,,,0.977371,0.980274,0.07,0.036,1.072,1.0749
1776664713,0.030033,-0.067177,0.97921,0.981971,0.072,0.035,1.071,1.074
1776664713,0.030144,-0.069256,,,,,,
1776664713,,,0.977234,0.980148,0.071,0.035,1.072,1.0749
1776664713,0.030144,-0.069256,0.977234,0.980148,0.069,0.033,1.073,1.0757
1776664713,0.032516,-0.068596,0.978931,,,,,
1776664713,,,,0.98187,0.072,0.036,1.069,1.072
1776664713,0.029659,-0.06599,0.979923,0.98259,0.071,0.036,1.062,1.065
1776664713,0.029659,,,,,,,
1776664713,,-0.06599,0.979923,0.98259,0.068,0.038,1.065,1.0678
1776664713,0.03204,-0.068119,0.978397,0.981289,0.069,0.034,1.07,1.0728
1776664713,0.03204,,,,,,,
1776664713,,-0.068119,0.978397,0.981289,0.069,0.035,1.066,1.0688
1776664713,0.030952,-0.067661,0.977345,0.980173,0.067,,,
1776664713,,,,,,0.036,1.067,1.0697
1776664713,0.029434,,,,,,,
1776664713,,-0.067684,0.978672,0.981451,0.069,0.032,1.072,1.0747
1776664713,0.029434,-0.067684,0.978672,0.981451,0.07,0.038,,
1776664713,,,,,,,1.07,1.073
1776664713,0.032585,,,,,,,
1776664713,,-0.067657,0.97821,0.981089,0.067,0.037,1.071,1.0737
1776664713,0.030857,-0.066639,0.978943,0.981693,0.069,0.036,1.071,1.0738
1776664713,0.030857,-0.066639,0.978943,0.981693,0.068,0.039,1.07,1.0729
1776664713,0.030472,-0.067909,0.979202,0.982027,0.066,0.034,1.068,1.0706
1776664713,0.031189,-0.06794,,,,,,
1776664713,,,0.977093,0.979948,0.069,0.034,1.068,1.0708
1776664713,0.031189,-0.06794,0.977093,0.979948,0.068,0.036,1.07,1.0728
1776664713,0.029503,-0.066216,0.979279,,,,,
1776664713,,,,0.981958,0.064,0.037,1.071,1.0735
1776664713,0.029503,-0.066216,0.979279,0.981958,0.068,0.038,1.071,
1776664713,,,,,,,,1.0738
1776664713,0.030384,-0.066528,,,,,,
1776664713,0.031635,-0.068264,0.97773,0.98062,0.066,0.039,1.076,1.0787
1776664713,,,,,0.069,0.037,1.075,1.0778
1776664713,0.031635,-0.068264,,,,,,
1776664713,,,0.97773,0.98062,0.065,0.037,1.075,1.0776
1776664713,0.03022,-0.067108,0.979389,0.982151,0.064,0.037,1.073,
1776664713,0.028854,,,,,,,1.0755
1776664713,,-0.066113,0.978786,0.981441,0.066,0.034,1.069,1.0716
1776664713,0.028854,-0.066113,,,,,,
1776664713,,,0.978786,0.981441,0.067,0.034,1.074,1.0766
1776664713,0.029987,,,,,,,
1776664713,,-0.066784,0.978485,0.98122,0.063,0.034,1.074,1.0764
1776664713,0.029987,-0.066784,0.978485,0.98122,0.064,,,
1776664713,,,,,,0.033,1.077,1.0794
1776664713,0.031097,-0.066158,0.98019,0.982912,0.066,0.036,1.079,1.0816
1776664713,0.030132,-0.066818,0.980427,0.983163,0.067,0.031,,
1776664713,,,,,,,1.076,1.0785
1776664713,0.030132,,,,,,,
